# fintech-algorithms	0.13.0
# topic_id	subpath	entry
D00-F01-A01	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/variables-constants-expressions-and-equations	variablesConstantsExpressionsAndEquations
D00-F01-A02	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/functions-domains-ranges-and-graphs	functionsDomainsRangesAndGraphs
D00-F01-A03	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/ratios-proportions-rates-and-percentages	ratiosProportionsRatesAndPercentages
D00-F01-A04	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/percentage-change-percentage-points-and-basis-points	percentageChangePercentagePointsAndBasisPoints
D00-F01-A05	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/exponents-roots-and-logarithms	exponentsRootsAndLogarithms
D00-F01-A06	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/summation-products-and-index-notation	summationProductsAndIndexNotation
D00-F01-A07	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/linear-equations-and-systems	linearEquationsAndSystems
D00-F01-A08	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/inequalities-bounds-and-constraints	inequalitiesBoundsAndConstraints
D00-F01-A09	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/units-dimensions-scale-and-normalization	unitsDimensionsScaleAndNormalization
D00-F01-A10	fintech-algorithms/foundations/mathematical-language-and-quantitative-reasoning/rounding-precision-tolerance-and-significant-digits	roundingPrecisionToleranceAndSignificantDigits
D00-F02-A01	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/simple-interest	simpleInterest
D00-F02-A02	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/compound-interest	compoundInterest
D00-F02-A03	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/present-future-value	presentValueAndFutureValue
D00-F02-A04	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/discount-factors	discountFactorsAndDiscountRates
D00-F02-A05	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/cashflow-npv	cashFlowTimelinesAndNetPresentValue
D00-F02-A06	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/simple-return	simpleReturn
D00-F02-A07	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/log-return	logReturn
D00-F02-A08	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/holding-period-return	holdingPeriodAndCumulativeReturn
D00-F02-A09	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/arithmetic-geometric-return	arithmeticVersusGeometricAverageReturn
D00-F02-A10	fintech-algorithms/foundations/financial-arithmetic-time-value-and-returns/annualization-deannualization	returnAnnualizationAndDeannualization
D00-F03-A01	fintech-algorithms/foundations/data-variables-samples-and-measurement/observations-entities-variables-and-datasets	observationsEntitiesVariablesAndDatasets
D00-F03-A02	fintech-algorithms/foundations/data-variables-samples-and-measurement/numeric-categorical-ordinal-and-binary-variables	numericCategoricalOrdinalAndBinaryVariables
D00-F03-A03	fintech-algorithms/foundations/data-variables-samples-and-measurement/population-sample-census-and-sampling-frame	populationSampleCensusAndSamplingFrame
D00-F03-A04	fintech-algorithms/foundations/data-variables-samples-and-measurement/cross-sectional-time-series-panel-and-event-data	crossSectionalTimeSeriesPanelAndEventData
D00-F03-A05	fintech-algorithms/foundations/data-variables-samples-and-measurement/identifiers-keys-joins-and-data-grain	identifiersKeysJoinsAndDataGrain
D00-F03-A06	fintech-algorithms/foundations/data-variables-samples-and-measurement/timestamps-time-zones-calendars-and-observation-time	timestampsTimeZonesCalendarsAndObservationTime
D00-F03-A07	fintech-algorithms/foundations/data-variables-samples-and-measurement/missing-nonfinite-censored-and-truncated-values	missingNonfiniteCensoredAndTruncatedValues
D00-F03-A08	fintech-algorithms/foundations/data-variables-samples-and-measurement/measurement-error-resolution-accuracy-and-precision	measurementErrorResolutionAccuracyAndPrecision
D00-F03-A09	fintech-algorithms/foundations/data-variables-samples-and-measurement/revisions-vintages-and-point-in-time-availability	revisionsVintagesAndPointInTimeAvailability
D00-F03-A10	fintech-algorithms/foundations/data-variables-samples-and-measurement/data-provenance-lineage-ownership-and-licensing	dataProvenanceLineageOwnershipAndLicensing
D00-F04-A01	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/count-sum-minimum-maximum-and-range	countSumMinimumMaximumAndRange
D00-F04-A02	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/arithmetic-mean	arithmeticMean
D00-F04-A03	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/weighted-mean	weightedMean
D00-F04-A04	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/median-and-mode	medianAndMode
D00-F04-A05	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/trimmed-and-winsorized-means	trimmedAndWinsorizedMeans
D00-F04-A06	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/percentiles-quantiles-and-quartiles	percentilesQuantilesAndQuartiles
D00-F04-A07	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/ranks-ties-and-percentile-rank	ranksTiesAndPercentileRank
D00-F04-A08	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/frequency-tables-and-relative-frequency	frequencyTablesAndRelativeFrequency
D00-F04-A09	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/histograms-and-empirical-distribution-functions	histogramsAndEmpiricalDistributionFunctions
D00-F04-A10	fintech-algorithms/foundations/location-ranking-and-exploratory-summaries/five-number-summary-and-box-plot	fiveNumberSummaryAndBoxPlot
D00-F05-A01	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/deviation-absolute-deviation-and-squared-deviation	deviationAbsoluteDeviationAndSquaredDeviation
D00-F05-A02	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/range-and-interquartile-range	rangeAndInterquartileRange
D00-F05-A03	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/mean-absolute-deviation	meanAbsoluteDeviation
D00-F05-A04	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/median-absolute-deviation	medianAbsoluteDeviation
D00-F05-A05	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/population-and-sample-variance	populationAndSampleVariance
D00-F05-A06	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/population-and-sample-standard-deviation	populationAndSampleStandardDeviation
D00-F05-A07	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/coefficient-of-variation-and-scale-comparability	coefficientOfVariationAndScaleComparability
D00-F05-A08	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/z-score-robust-z-score-and-standardization	zScoreRobustZScoreAndStandardization
D00-F05-A09	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/skewness-and-tail-asymmetry	skewnessAndTailAsymmetry
D00-F05-A10	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/kurtosis-excess-kurtosis-and-tail-weight	kurtosisExcessKurtosisAndTailWeight
D00-F06-A01	fintech-algorithms/foundations/probability-and-random-variables/experiments-outcomes-sample-spaces-and-events	experimentsOutcomesSampleSpacesAndEvents
D00-F06-A02	fintech-algorithms/foundations/probability-and-random-variables/probability-rules-complements-unions-and-intersections	probabilityRulesComplementsUnionsAndIntersections
D00-F06-A03	fintech-algorithms/foundations/probability-and-random-variables/conditional-probability	conditionalProbability
D00-F06-A04	fintech-algorithms/foundations/probability-and-random-variables/independence-and-dependence	independenceAndDependence
D00-F06-A05	fintech-algorithms/foundations/probability-and-random-variables/bayes-theorem-and-base-rates	bayesTheoremAndBaseRates
D00-F06-A06	fintech-algorithms/foundations/probability-and-random-variables/discrete-and-continuous-random-variables	discreteAndContinuousRandomVariables
D00-F06-A07	fintech-algorithms/foundations/probability-and-random-variables/expected-value	expectedValue
D00-F06-A08	fintech-algorithms/foundations/probability-and-random-variables/variance-moments-and-moment-generating-intuition	varianceMomentsAndMomentGeneratingIntuition
